Project Id,Bid,Status,
487619,Bid[1],Project Loading Failed,
486859,Bid[1],Project Loading Failed,
486985,Bid[1],Project Loading Failed,
487484,Bid[1],Project Loading Failed,
486854,Bid[1],Project Loading Failed,
487987,Bid[1],Project Loading Failed,
487999,Bid[1],Project Loading Failed,
486870,Bid[1],Project Loading Failed,
486871,Bid[1],Project Loading Failed,
486863,Bid[1],Project Loading Failed,
487644,Bid[1],Project Loading Failed,
487846,Bid[1],Project Loading Failed,
486974,Bid[1],Project Loading Failed,
487002,Bid[1],Project Loading Failed,
486869,Bid[1],Project Loading Failed,
486861,Bid[1],Project Loading Failed,
486867,Bid[1],Project Loading Failed,
487709,Bid[1],Project Loading Failed,
486864,Bid[1],Project Loading Failed,
486839,Bid[1],Project Loading Failed,
487572,Bid[1],Project Loading Failed,
486835,Bid[1],Project Loading Failed,
486844,Bid[1],Project Loading Failed,
487382,Bid[1],Project Loading Failed,
486833,Bid[1],Project Loading Failed,
486838,Bid[1],Project Loading Failed,
487341,Bid[1],Project Loading Failed,
486831,Bid[1],Project Loading Failed,
486840,Bid[1],Project Loading Failed,
486975,Bid[1],Project Loading Failed,
487412,Bid[1],Project Loading Failed,
487504,Bid[1],Project Loading Failed,
487594,Bid[1],Project Loading Failed,
486834,Bid[1],Project Loading Failed,
487466,Bid[1],Project Loading Failed,
486826,Bid[1],Project Loading Failed,
487468,Bid[1],Project Loading Failed,
486830,Bid[1],Project Loading Failed,
486825,Bid[1],Project Loading Failed,
487015,Bid[1],Project Loading Failed,
486932,Bid[1],Project Loading Failed,
486824,Bid[1],Project Loading Failed,
486998,Bid[1],Project Loading Failed,
486822,Bid[1],Project Loading Failed,
487595,Bid[1],Project Loading Failed,
486823,Bid[1],Project Loading Failed,
486829,Bid[1],Project Loading Failed,
487097,Bid[1],Project Loading Failed,
487934,Bid[1],Project Loading Failed,
487477,Bid[1],Project Loading Failed,
487701,Bid[1],Project Loading Failed,
486821,Bid[1],Project Loading Failed,
486817,Bid[1],Project Loading Failed,
487099,Bid[1],Project Loading Failed,
487087,Bid[1],Project Loading Failed,
487541,Bid[1],Project Loading Failed,
486819,Bid[1],Project Loading Failed,
459182,Bid[1],Project Loading Failed,
459779,Bid[1],Project Loading Failed,
459297,Bid[1],Project Loading Failed,
459486,Bid[1],Project Loading Failed,
459172,Bid[1],Project Loading Failed,
459235,Bid[1],Project Loading Failed,
459173,Bid[1],Project Loading Failed,
459542,Bid[1],Project Loading Failed,
459575,Bid[1],Project Loading Failed,
459362,Bid[1],Project Loading Failed,
459164,Bid[1],Project Loading Failed,
459650,Bid[1],Project Loading Failed,
459884,Bid[1],Project Loading Failed,
459479,Bid[1],Project Loading Failed,
459763,Bid[1],Project Loading Failed,
459685,Bid[1],Project Loading Failed,
459605,Bid[1],Project Loading Failed,
459678,Bid[1],Project Loading Failed,
459655,Bid[1],Project Loading Failed,
459883,Bid[1],Project Loading Failed,
459304,Bid[1],Project Loading Failed,
459860,Bid[1],Project Loading Failed,
459400,Bid[1],Project Loading Failed,
459845,Bid[1],Project Loading Failed,
459825,Bid[1],Project Loading Failed,
459167,Bid[1],Project Loading Failed,
459174,Bid[1],Project Loading Failed,
459293,Bid[1],Project Loading Failed,
459894,Bid[1],Project Loading Failed,
411.5846746,Total Execution Time in minutes,,
